관광지명,주소,장애인 화장실,장애인용 엘리베이터,장애인 전용 주차구역,주출입구 단차없음,지하철 접근가능,저상버스 접근가능,휠체어 대여,시각장애인 편의서비스,청각장애인 편의서비스,수유실,장애인 객실,유모차 대여
몰디브,전남 목포시,0,1,1,0,0,0,0,0,0,0,1,0
강강술래 전수관,전남 해남군,1,1,1,1,0,0,0,0,0,0,0,0
진도향토문화회관,전남 진도군,1,1,1,1,0,0,0,0,0,0,0,0
진도해양생태관,전남 진도군,1,1,1,1,0,0,0,0,0,0,0,0
해남문화예술회관,전남 해남군,0,1,1,1,0,0,0,0,0,0,0,0
진도무형문화재전수관,전남 진도군,0,0,1,1,0,0,0,1,0,0,0,0
장성문화원,전남 장성군,1,1,1,1,0,0,0,0,0,0,0,0
섬진강어류생태관,전남 구례군,1,1,1,1,0,0,1,1,0,0,0,1
순천시 유스호스텔,전남 순천시,0,1,0,1,0,0,0,0,0,0,0,0
여수 윈드빌 가족호스텔,전남 여수시,0,1,0,0,0,0,0,1,0,0,1,0
정남진 장흥토요시장,전남 장흥군,1,0,1,1,0,0,0,0,0,0,0,0
소라횟집,전남 완도군,0,0,0,1,0,0,0,0,0,0,0,0
디오션리조트,전남 여수시,0,1,1,1,0,0,0,1,0,0,0,0
보성다비치콘도,전남 보성군,1,1,1,1,0,0,1,1,0,0,1,0
지리산온천랜드,전남 구례군,1,1,1,1,0,0,0,1,0,0,1,0
한화리조트 지리산,전남 구례군,1,0,1,0,0,0,0,0,0,0,0,0
아쿠아플라넷 여수,전남 여수시,1,1,1,1,0,0,1,0,0,1,0,1
담양리조트,전남 담양군,1,1,0,1,0,0,0,1,0,0,1,0
만나숯불갈비,전남 장흥군,0,0,1,1,0,0,0,0,0,0,0,0
오동도,전남 여수시,1,0,1,1,0,0,0,1,0,0,0,0
강진 고려청자사업소,전남 강진군,1,1,1,1,0,0,0,0,0,0,0,0
순천만 공예특산품관,전남 순천시,1,1,1,1,0,0,0,0,0,0,0,0
정응민예적지(판소리공원),전남 보성군,0,1,1,1,0,0,0,0,0,0,0,0
소문난갈비탕,전남 고흥군,1,0,1,1,0,0,0,0,0,0,0,0
오거리문화센터(구 동본원사 목포별원),전남 목포시,1,0,1,1,0,0,0,0,0,0,0,0
백제불교최초도래지,전남 영광군,1,0,1,1,0,0,0,0,0,0,0,0
벌교우렁집,전남 보성군,0,0,0,1,0,0,0,0,0,0,0,0
제암산자연휴양림,전남 보성군,1,0,1,1,0,0,0,0,0,0,0,0
길상식당,전남 순천시,1,0,1,1,0,0,0,0,0,0,0,0
청해 한일정식,전남 순천시,0,0,1,1,0,0,0,0,0,0,0,0
이대순두부,전남 구례군,0,0,0,1,0,0,0,0,0,0,0,0
들마루,전남 순천시,0,0,1,1,0,0,0,0,0,0,0,0
대대선창집,전남 순천시,0,0,1,1,0,0,0,0,0,0,0,0
국립공원공단 종복원기술원,전남 구례군,1,0,1,1,0,0,0,0,0,0,0,0
백운산자연휴양림,전남 광양시,1,0,1,1,0,0,0,0,0,0,0,0
가우도 출렁다리,전남 강진군,1,0,1,1,0,0,0,0,0,0,0,0
힐하우스,전남 여수시,0,0,0,1,0,0,0,0,0,0,0,0
산마루터,전남 해남군,0,0,0,1,0,0,0,1,0,0,0,0
원조이동갈비,전남 목포시,0,0,0,1,0,0,0,0,0,0,0,0
섬진강기차마을,전남 곡성군,1,0,1,1,0,0,1,1,0,1,0,0
여수 진남관,전남 여수시,1,0,1,1,0,0,0,0,0,0,0,0
광양만권 경제자유구역 홍보관,전남 광양시,0,0,1,1,0,0,0,0,0,0,0,0
장흥다목적댐 물 문화관,전남 장흥군,1,1,1,1,0,0,0,1,0,0,0,0
소안항일운동기념관,전남 완도군,0,0,1,1,0,0,0,0,0,0,0,0
승달문화예술회관,전남 무안군,1,0,1,1,0,0,0,1,0,0,0,0
주암댐 물 문화관,전남 순천시,0,1,1,1,0,0,0,0,0,0,0,0
나로우주센터 우주과학관,전남 고흥군,1,1,1,1,0,0,1,0,0,1,0,1
나주 복암리 고분군,전남 나주시,1,0,1,1,0,0,0,0,0,0,0,0
남평역(나주),전남 나주시,0,0,0,1,0,0,0,0,0,0,0,0
함평문화원,전남 함평군,0,0,1,1,0,0,0,0,0,0,0,0
해남문화원,전남 해남군,1,0,1,1,0,0,0,1,0,0,0,0
