관광지명,주소,장애인 화장실,장애인용 엘리베이터,장애인 전용 주차구역,주출입구 단차없음,지하철 접근가능,저상버스 접근가능,휠체어 대여,시각장애인 편의서비스,청각장애인 편의서비스,수유실,장애인 객실,유모차 대여
"장전미술관 (구, 남진미술관)",전남 진도군,0,0,1,1,0,0,0,1,0,0,0,0
한국가사문학관,전남 담양군,1,1,1,1,0,0,0,0,0,0,0,0
하늘빛수목원,전남 장흥군,1,0,1,0,1,1,1,0,0,0,0,0
장성 축령산 편백숲 (장성 치유의 숲),전남 장성군,1,0,0,1,0,0,0,0,0,0,0,0
편백숲 우드랜드,전남 장흥군,1,0,1,1,0,0,1,1,0,0,0,1
목포어린이바다과학관,전남 목포시,1,1,1,1,0,0,1,1,0,0,0,1
정남진(장흥),전남 장흥군,1,0,1,1,0,0,0,1,0,0,0,0
선비촌,전남 순천시,0,0,0,1,0,0,0,0,0,0,0,0
보성 강골마을,전남 보성군,1,0,1,1,0,0,0,0,0,0,0,0
담양펜션,전남 담양군,0,0,0,1,0,0,0,0,0,0,0,0
오시아노 관광단지,전남 해남군,1,0,1,1,0,0,0,0,0,0,0,0
"순천만습지 (구, 순천만자연생태공원)",전남 순천시,1,0,1,1,0,0,1,1,0,0,0,0
화엄사,전남 구례군,1,0,0,1,0,0,0,0,0,0,0,0
도림사(곡성),전남 곡성군,1,0,1,0,0,0,0,0,0,0,0,0
구례 산수유마을,전남 구례군,0,0,1,0,0,0,0,0,0,0,0,0
홍쌍리 청매실농원,전남 광양시,1,0,1,0,0,0,0,1,0,0,0,0
나주 부영CC 골프텔,전남 나주시,1,1,1,1,0,0,0,0,0,0,1,0
송광사(순천),전남 순천시,1,0,1,1,0,0,0,0,0,0,0,0
선암사[유네스코 세계문화유산],전남 순천시,1,0,1,1,0,0,0,0,0,0,0,0
대원사(보성),전남 보성군,0,0,1,1,0,0,0,0,0,0,0,0
도갑사,전남 영암군,1,0,0,0,0,0,0,0,0,0,0,0
천은사(구례),전남 구례군,1,0,0,1,0,0,0,0,0,0,0,0
백양사,전남 장성군,1,0,1,1,0,0,1,0,0,0,0,0
대흥사[유네스코 세계문화유산],전남 해남군,1,0,1,1,0,0,0,1,0,0,0,0
불갑사 관광지,전남 영광군,1,0,1,1,0,0,1,0,0,0,0,1
중흥골드스파&리조트,전남 나주시,1,1,1,1,0,0,1,0,0,0,1,0
순천만일번가,전남 순천시,0,0,0,1,0,0,0,0,0,0,0,0
유성횟집,전남 목포시,0,0,0,1,0,0,0,0,0,0,0,0
장독대떡갈비,전남 무안군,0,0,0,1,0,0,0,0,0,0,0,0
3대곰탕,전남 장흥군,0,0,0,1,0,0,0,0,0,0,0,0
헤븐뜰,전남 보성군,0,0,0,1,0,0,0,0,0,0,0,0
가을빛묵은지,전남 장성군,0,0,0,1,0,0,0,0,0,0,0,0
태안사,전남 곡성군,0,0,0,1,0,0,0,0,0,0,0,0
천관문학관,전남 장흥군,1,1,1,1,0,0,0,1,0,0,0,0
락식해물탕,전남 목포시,0,0,1,1,0,0,0,0,0,0,0,0
경복궁,전남 목포시,0,0,1,1,0,0,0,0,0,0,0,0
풍산식당,전남 여수시,0,0,0,1,0,0,0,0,0,0,0,0
갓바위 문화타운,전남 목포시,1,0,1,1,0,0,0,0,0,0,0,0
